Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change %,HPR,HL %,Mkt Cap ($B)
2017-01-19,208.34,208.49,207.03,207.49,66608800,0.0,0,-0.41,-0.37,0.71,187.28
2017-01-20,208.21,208.77,207.54,208.25,129168600,0.0,0,0.02,0.37,0.59,187.97
2017-01-23,208.25,208.31,206.9,207.71,75061600,0.0,0,-0.26,-0.26,0.68,187.48
2017-01-24,207.94,209.48,207.82,209.04,95555300,0.0,0,0.53,0.64,0.8,188.68
2017-01-25,210.05,210.85,209.88,210.85,84437700,0.0,0,0.38,0.87,0.46,190.31
2017-01-26,210.69,210.98,210.33,210.63,59970700,0.0,0,-0.03,-0.1,0.31,190.11
2017-01-27,210.71,210.87,210.1,210.3,59711100,0.0,0,-0.2,-0.16,0.36,189.81
2017-01-30,209.56,209.59,207.95,208.99,79737300,0.0,0,-0.27,-0.62,0.79,188.64
2017-01-31,208.47,209.04,207.86,208.98,75880800,0.0,0,0.24,-0.01,0.57,188.62
2017-02-01,208.98,209.95,208.43,209.06,79117700,0.0,0,0.04,0.04,0.73,188.7
2017-02-02,209.06,209.5,208.32,209.2,69657600,0.0,0,0.07,0.07,0.56,188.82
2017-02-03,210.16,210.83,209.83,210.64,80563200,0.0,0,0.23,0.69,0.48,190.12
2017-02-06,210.21,210.63,209.9,210.26,57790100,0.0,0,0.03,-0.18,0.35,189.78
2017-02-07,210.67,210.93,210.07,210.27,57931200,0.0,0,-0.19,0.0,0.41,189.79
2017-02-08,210.27,210.68,209.69,210.55,51566200,0.0,0,0.13,0.13,0.47,190.04
2017-02-09,210.55,212.12,210.55,211.79,65955200,0.0,0,0.59,0.59,0.75,191.17
2017-02-10,212.16,212.87,211.81,212.63,66015900,0.0,0,0.22,0.39,0.5,191.92
2017-02-13,213.15,214.06,213.13,213.79,55182100,0.0,0,0.3,0.54,0.44,192.96
2017-02-14,213.59,214.65,213.23,214.64,71109000,0.0,0,0.49,0.4,0.67,193.74
2017-02-15,214.41,215.96,214.36,215.76,86785800,0.0,0,0.63,0.52,0.75,194.75
2017-02-16,215.79,215.98,214.78,215.58,84722400,0.0,0,-0.1,-0.09,0.56,194.58
2017-02-17,214.87,215.92,214.85,215.92,77204100,0.0,0,0.49,0.16,0.5,194.89
2017-02-21,216.31,217.39,216.3,217.2,88946100,0.0,0,0.41,0.6,0.5,196.05
2017-02-22,216.77,217.25,216.6,217.01,62115200,0.0,0,0.11,-0.09,0.3,195.87
2017-02-23,217.56,217.58,216.35,217.16,74615900,0.0,0,-0.19,0.07,0.57,196.01
2017-02-24,216.26,217.48,216.21,217.43,82381600,0.0,0,0.54,0.13,0.59,196.26
2017-02-27,217.34,217.96,217.08,217.77,56515400,0.0,0,0.2,0.16,0.41,196.56
2017-02-28,217.37,217.63,216.77,217.19,96961900,0.0,0,-0.08,-0.27,0.39,196.03
